TF_uniq	Origin
KLF11	nature
ATOH1	nature
MIZF	nature
ARNT2	nature
ZNF24	nature
HOXC5	nature
RARG	nature
SP3	nature
RELA	nature
DMRT2	nature
INSM1	nature
ZNF622	nature
STAT5B	nature
HOXB2	nature
ZBTB4	nature
ZHX3	nature
GLIS1	nature
NR1D2	nature
DDIT3	nature
PROP1	nature
SMAD2	nature
ZNF25	nature
MLXIP	nature
NR2F1	nature
ETV4	nature
HOXD8	nature
ASCL3	nature
HSF5	nature
FOXG1	nature
ZSCAN2	nature
TGIF2LY	nature
SOX11	nature
DEAF1	nature
ZBTB38	nature
HIC1	nature
TGIF1	nature
IRX3	nature
SOX12	nature
ZNF260	nature
LCORL	nature
MAF	nature
ZHX2	nature
MSC	nature
FOXE1	nature
HES7	nature
EGR3	nature
ZNF238	nature
ZFPM1	nature
ATOH7	nature
ALX1	nature
BHLHB8	nature
GSX2	nature
HOXC9	nature
HOXC10	nature
BHLHB5	nature
ZNF322A	nature
SOX2	nature
PLAG1	nature
NEUROG1	nature
ZNF708	nature
CREB3L2	nature
SATB1	nature
HOXB4	nature
MAFA	nature
SOX1	nature
NKX2-5	nature
FIGLA	nature
ASCL2	nature
TBX1	nature
OLIG1	nature
POU6F1	nature
SIX6	nature
FOXO4	nature
POU3F2	nature
SRY	nature
WT1	nature
MIXL1	nature
IRF7	nature
NR2F2	nature
PBX1	nature
POU3F1	nature
MYBL1	nature
IKZF1	nature
ZNF267	nature
SHOX	nature
ZNF197	nature
ZNF396	nature
ZNF395	nature
PPARA	nature
TEAD1	nature
MITF	nature
FOXD3	nature
ASCL4	nature
MESP2	nature
LBXCOR1	nature
MTF1	nature
ZNF322B	nature
SP6	nature
MYT1	nature
LCOR	nature
ESRRG	nature
TCF4	nature
POU3F4	nature
ZNF398	nature
MAFG	nature
HOXA4	nature
HOXC6	nature
ZNF181	nature
ZNF44	nature
TEAD4	nature
ZNF273	nature
ZFP161	nature
MIER1	nature
TFDP1	nature
HOXC4	nature
ZNF26	nature
ZNF43	nature
ZNF28	nature
YY2	nature
PAX9	nature
SREBF2	nature
POU3F3	nature
RORB	nature
SOX18	nature
MYCL2	nature
MAFB	nature
RXRB	nature
PBX2	nature
SP5	nature
ZNF551	nature
ZBTB48	nature
OLIG2	nature
ZNF254	nature
MXD3	nature
CREBL1	nature
IRF9	nature
NOTO	nature
ZBED1	nature
HMX1	nature
MEOX1	nature
ZNF195	nature
ZNF207	nature
DPF1	nature
WIZ	nature
ZBTB32	nature
ZNF221	nature
ZNF582	nature
ZFP64	nature
ZNF839	nature
PHF20	nature
IKZF2	nature
FOXP3	nature
FOXN3	nature
ZNF280C	nature
CREB3L3	nature
PRDM6	nature
ZFP112	nature
ZNF275	nature
ZBTB11	nature
ZFAT	nature
ZXDC	nature
ZNF532	nature
ZNF510	nature
ZNF93	nature
ZNF324	nature
ZNF671	nature
ZNF416	nature
ZNF586	nature
ZNF446	nature
ZNF8	nature
ZNF264	nature
MYNN	nature
EVI1	nature
ZNF213	nature
ZNF343	nature
EBF4	nature
LHX5	nature
ZNF302	nature
ZBTB25	nature
ZFHX4	nature
TBX15	nature
IKZF5	nature
ZNF184	nature
PATZ1	nature
ZBED4	nature
SALL4	nature
ADNP	nature
ZNF516	nature
ADNP2	nature
RHOXF1	nature
ZNF629	nature
ZNF423	nature
ZNF500	nature
FOXF1	nature
ZNF90	nature
ZNF550	nature
ZNF419	nature
PBX4	nature
ZNF574	nature
ZNF85	nature
EVX1	nature
ZKSCAN1	nature
NOBOX	nature
GLIS3	nature
CAMTA2	nature
HLF	nature
NKX3-2	nature
KLF3	nature
DBX1	nature
ZBTB16	nature
RFX4	nature
PRDM13	nature
ZBTB24	nature
TBX18	nature
BBX	nature
ZBTB47	nature
ZNF142	nature
GON4L	nature
MYCL1	nature
RLF	nature
ZNF684	nature
DR1	nature
RCOR3	nature
ZNF541	nature
KLF7	nature
ZNF271	nature
ZNF430	nature
FOXO3	nature
ZBTB45	nature
ZFP30	nature
ZNF706	nature
ZNF549	nature
ZSCAN18	nature
ZNF211	nature
ZNF639	nature
ZSCAN20	nature
TBX22	nature
BHLHB3	nature
NEUROD4	nature
IKZF4	nature
ESX1	nature
BATF3	nature
ZNF137	nature
ZNF576	nature
ZNF45	nature
GZF1	nature
NKX2-4	nature
NKX2-2	nature
ZNF133	nature
OVOL2	nature
ZNF436	nature
GLIS2	nature
SEBOX	nature
ZBTB1	nature
ZNF484	nature
FOXJ1	nature
ZSCAN10	nature
MLLT1	nature
ZNF557	nature
ZBTB46	nature
MNX1	nature
ZNF337	nature
PRDM12	nature
ZNF317	nature
ZNF426	nature
ZNF331	nature
CASZ1	nature
ZNF341	nature
ZNF227	nature
ZNF141	nature
RHOXF2	nature
ZNF304	nature
ZSCAN5A	nature
ZNF132	nature
ZNF20	nature
LHX1	nature
TOE1	nature
ZNF414	nature
EGR4	nature
EMX1	nature
ZNF670	nature
SP110	nature
NKX2-8	nature
ZFHX2	nature
VEZF1	nature
TBR1	nature
ZFP37	nature
ZNF189	nature
FOXP4	nature
ZNF193	nature
FOXF2	nature
ZNF280D	nature
ZNF365	nature
AEBP2	nature
FOXN4	nature
ZNF740	nature
ZIC5	nature
JDP2	nature
ZSCAN29	nature
ZNF710	nature
ZNF434	nature
ZNF287	nature
ZNF750	nature
ZIM3	nature
PRDM15	nature
DMRTC2	nature
ZFP14	nature
ZNF473	nature
ZNF432	nature
RERE	nature
PRDM16	nature
DMRTA2	nature
DMRTB1	nature
ZNF697	nature
ZNF687	nature
OSR1	nature
ZNF514	nature
ZNF385B	nature
ZNF660	nature
ZNF300	nature
ZNF92	nature
ZNF41	nature
ZNF711	nature
HMBOX1	nature
PRDM14	nature
ZNF462	nature
CIZ1	nature
ZNF214	nature
MKX	nature
FOXO1	nature
SALL3	nature
VENTX	nature
ZNF385D	nature
ZNF268	nature
ZNF547	nature
ZNF256	nature
ZSCAN1	nature
ZFP36L2	nature
PRDM8	nature
ZNF117	nature
ZNF599	nature
LASS3	nature
ZNF18	nature
MIER3	nature
ZKSCAN2	nature
C14orf43	nature
ZNF689	nature
ZIC3	nature
ZNF618	nature
ZSCAN12	nature
ZNF276	nature
ZNF222	nature
ZNF225	nature
ZNF234	nature
ZNF233	nature
ZNF235	nature
ZNF486	nature
ZNF208	nature
ZNF761	nature
ZNF714	nature
ZNF394	nature
ZNF333	nature
CUX1	nature
ZNF382	nature
ZNF577	nature
ZNF653	nature
ZNF75A	nature
LHX8	nature
ZNF326	nature
GFI1	nature
ZNF496	nature
EN1	nature
ZNF513	nature
ZNF691	nature
ZNF589	nature
ZNF474	nature
PRDM9	nature
FAM170A	nature
FOXQ1	nature
TBX20	nature
SP8	nature
ZNF704	nature
EN2	nature
UNCX	nature
GBX1	nature
OSR2	nature
NFIL3	nature
HDX	nature
ZNF488	nature
PKNOX2	nature
DRGX	nature
ZNF503	nature
ZNF219	nature
ZNF319	nature
ZSCAN21	nature
ZNF606	nature
ZNF592	nature
ZBTB39	nature
TSC22D4	nature
ZNF226	nature
ZNF229	nature
ZNF668	nature
ZNF646	nature
ZNF641	nature
ZNF610	nature
ZNF701	nature
ZNF526	nature
ZNF345	nature
ZNF83	nature
ZNF558	nature
ZNF232	nature
ZNF597	nature
INSM2	nature
GBX2	nature
ZBTB5	nature
ZNF507	nature
ZNF509	nature
ZNF608	nature
ZNF354A	nature
ZBTB43	nature
ZNF280A	nature
ZNF747	nature
FOXD4	nature
ZNF212	nature
PRDM10	nature
ZNF296	nature
ZNF415	nature
ZNF672	nature
ZNF692	nature
ZNF439	nature
ZNF440	nature
ZNF581	nature
ZNF524	nature
ZBTB26	nature
ZNF562	nature
ZNF318	nature
ZNF561	nature
OTP	nature
ZNF584	nature
ZIK1	nature
CAMTA1	nature
NHLH1	nature
ZNF540	nature
ZNF570	nature
MLLT3	nature
KLF17	nature
ZNF217	nature
ZNF57	nature
ZNF556	nature
ZNF554	nature
ETV3L	nature
ZNF131	nature
ZMAT3	nature
ZNF596	nature
OVOL1	nature
ZNF621	nature
ZNF680	nature
BNC2	nature
ZNF483	nature
ZNF449	nature
ZNF295	nature
ZNF417	nature
RAX2	nature
MGA	nature
ZNF80	nature
EVX2	nature
ZNF497	nature
KLF14	nature
ZNF266	nature
ZIC4	nature
ZNF654	nature
ZNF408	nature
ZNF519	nature
ISX	nature
DRAP1	nature
ZNF77	nature
ZNF169	nature
ZNF645	nature
ZNF611	nature
ZNF613	nature
ZNF683	nature
ZNF404	nature
ZNF283	nature
ZNF135	nature
FOXR1	nature
DMRTA1	nature
KCMF1	nature
ZNF575	nature
FOXL1	nature
FOXC2	nature
IRX5	nature
ZBTB34	nature
CCDC79	nature
OLIG3	nature
NHLH2	nature
ZNF491	nature
ZNF620	nature
ZNF518A	nature
ZNF619	nature
ZBTB41	nature
ZNF354C	nature
ZNF114	nature
ZNF366	nature
ZNF454	nature
ZNF543	nature
ZNF354B	nature
ZNF223	nature
ZNF713	nature
TPRX1	nature
ZNF552	nature
ZFP42	nature
ZNF664	nature
LBX2	nature
FOXS1	nature
ZNF154	nature
ZNF648	nature
FIZ1	nature
ZNF771	nature
TSHZ1	nature
ZNF48	nature
NKX2-6	nature
ZNF609	nature
ZNF571	nature
ZSCAN4	nature
ZFP3	nature
ZNF443	nature
ZNF572	nature
ZFP82	nature
ZNF707	nature
ZNF746	nature
ZNF467	nature
ZNF678	nature
ZBTB2	nature
ZFP41	nature
HKR1	nature
ZBTB20	nature
RFX7	nature
ZNF329	nature
ZNF101	nature
ZSCAN22	nature
TSHZ2	nature
ZNF721	nature
ZNF662	nature
ZNF320	nature
ZNF623	nature
TFDP3	nature
ZNF438	nature
ZNF530	nature
FOXL2	nature
ZNF703	nature
ZNF285A	nature
FOXD4L1	nature
ZFP1	nature
ZNF56	nature
ZBTB40	nature
ZBTB7C	nature
ZNF479	nature
ZNF445	nature
ZNF74	nature
ZBTB37	nature
DBX2	nature
ZFP36L1	nature
SNAI3	nature
ZBTB3	nature
ZNF696	nature
ZNF566	nature
ZNF224	nature
ZNF529	nature
ZNF284	nature
TAL2	nature
ARGFX	nature
ZBTB6	nature
ZNF749	nature
ZNF17	nature
ZNF555	nature
ZNF75D	nature
ZNF501	nature
MYT1L	nature
FOXD2	nature
ZFP91	nature
FOXE3	nature
ZNF546	nature
FOXD4L3	nature
ZNF286A	nature
ZKSCAN4	nature
ZNF70	nature
ZNF643	nature
ZNF642	nature
ZSCAN23	nature
ZNF490	nature
ZNF626	nature
ZNF383	nature
HES4	nature
ZNF669	nature
ZNF559	nature
HMX3	nature
ZNF177	nature
ZNF548	nature
ZNF563	nature
ZNF292	nature
ZNF567	nature
ZNF573	nature
ZNF527	nature
ZNF33A	nature
ZNF600	nature
ZKSCAN3	nature
FOXR2	nature
ZNF699	nature
ZNF250	nature
ZNF79	nature
ZNF681	nature
ZNF107	nature
ZNF471	nature
ZNF493	nature
ZBTB44	nature
ZNF167	nature
ZNF565	nature
ZNF34	nature
ZNF140	nature
ZNF124	nature
TSC22D2	nature
ZNF569	nature
ZNF777	nature
ZNF605	nature
ZNF136	nature
ZKSCAN5	nature
ZNF502	nature
ZFP62	nature
ZNF33B	nature
ZNF431	nature
ZNF418	nature
ZNF700	nature
ZNF239	nature
ZSCAN16	nature
ZNF709	nature
ZFP28	nature
ZNF252	nature
ZNF705A	nature
ZNF585A	nature
ZNF138	nature
ZNF470	nature
ZNF100	nature
ZNF542	nature
ZNF498	nature
ZNF441	nature
ZNF420	nature
ZNF187	nature
ZNF679	nature
ZNF682	nature
ZNF257	nature
ZNF688	nature
ZNF165	nature
ZNF655	nature
ZNF517	nature
ZNF675	nature
ZNF695	nature
ZNF628	nature
ZNF665	nature
ZNF624	nature
DMBX1	nature
ZNF615	nature
ZNF433	nature
ZNF323	nature
ZNF595	nature
ZNF460	nature
ZNF81	nature
ZNF585B	nature
ZNF461	nature
HES5	nature
ZNF677	nature
ZNF823	nature
ZNF311	nature
ZNF347	nature
ZNF71	nature
ZNF121	nature
ZNF734	nature
ZNF335	nature
ZNF560	nature
ZNF84	nature
ZNF667	nature
ZNF649	nature
ZNF248	nature
ZNF544	nature
ZNF251	nature
ZNF607	nature
ZNF334	nature
ZXDA	nature
ZNF485	nature
ZIM2	nature
ZNF192	nature
ZNF442	nature
ZNF69	nature
ZNF583	nature
ZNF568	nature
ZXDB	nature
ZNF480	nature
ZNF587	nature
ZNF280B	nature
ZNF512	nature
ZNF511	nature
ZNF627	nature
ZNF658	nature
ZNF536	nature
ZNF652	nature
ZNF830	nature
ZNF521	nature
FOXJ3	nature
ZNF358	nature
ZNF277	nature
ZFP2	nature
ZBTB22	nature
ZBTB12	nature
DUXA	nature
DPRX	nature
ZNF468	nature
ZNF616	nature
ZFP57	nature
FOXD4L6	nature
ZNF155	nature
ZNF783	nature
ZNF425	nature
ZBTB10	nature
ONECUT3	nature
ZNF409	nature
ZNF580	nature
ZNF625	nature
ZBTB9	nature
ZNF134	nature
LEUTX	nature
ZNF99	nature
ZNF253	nature
HOMEZ	nature
ZNF705F	nature
ZNF705D	nature
ZNF718	nature
SCRT2	nature
ZNF407	nature
ZNF663	nature
ZNF579	nature
ZNF564	nature
TCF20	nature
GABPB1	nature
AHR	nature
SIM1	nature
BMP2	nature
PREB	nature
TCF25	nature
AFF3	nature
ARID5B	nature
CXXC1	nature
SIM2	nature
GRLF1	nature
IFI16	nature
TUB	nature
NPAS4	nature
PAWR	nature
CEBPA	nature
NKRF	nature
RFXANK	nature
ARID3A	nature
TCF19	nature
PCGF6	nature
NFRKB	nature
PHB2	nature
CRAMP1L	nature
ZC3H3	nature
SLC30A9	nature
MATR3	nature
THAP3	nature
ZNF800	nature
RC3H2	nature
ZC3H11A	nature
UNKL	nature
ZC3H15	nature
SP100	nature
ZFYVE26	nature
AFF4	nature
MBNL3	nature
ZCCHC6	nature
SOHLH2	nature
NCOA1	nature
C20orf194	nature
TOX4	nature
CENPT	nature
ZNF821	nature
TOX3	nature
ZFP106	nature
DNAJC2	nature
TAX1BP1	nature
AKNA	nature
ZNF346	nature
PLEK	nature
MLL	nature
KIAA1549	nature
NCOA3	nature
TOX2	nature
ZNF831	nature
ZNF391	nature
C11orf9	nature
ZNF835	nature
ZNF780B	nature
FEZF1	nature
THAP10	nature
E2F8	nature
C14orf106	nature
ZNF428	nature
TERF2	nature
ZBED3	nature
ZCCHC11	nature
HMGA1	nature
PRKRIR	nature
SCAPER	nature
ZNF787	nature
ZMAT2	nature
FERD3L	nature
CPXCR1	nature
TERF1	nature
NPAS3	nature
MSGN1	nature
ZNF827	nature
SETBP1	nature
ZNF773	nature
ZNF776	nature
ZNF837	nature
CARHSP1	nature
AHCTF1	nature
FEZF2	nature
ZUFSP	nature
GATAD1	nature
ZNF362	nature
THAP8	nature
MYSM1	nature
BOLA3	nature
ANKZF1	nature
ATXN7	nature
TCF23	nature
YEATS2	nature
C5orf41	nature
FOXK1	nature
KIAA0415	nature
ZMAT4	nature
NKX6-3	nature
ZNF367	nature
E2F7	nature
MESP1	nature
MLL2	nature
ZNF598	nature
ZNF834	nature
THAP9	nature
THAP11	nature
DNAJC21	nature
ATOH8	nature
ZNF764	nature
ZNF768	nature
ZNF778	nature
ZNF804A	nature
NFXL1	nature
ID4	nature
LASS6	nature
AFF1	nature
NOC3L	nature
THAP2	nature
HES3	nature
ZNF791	nature
THAP6	nature
KIAA2018	nature
ZNF843	nature
THAP4	nature
ZBED2	nature
THAP5	nature
BOLA1	nature
ZNF518B	nature
NEUROG2	nature
ZNF784	nature
ZNF725	nature
ZNF321	nature
ZNF594	nature
ZNF487	nature
ZNF792	nature
ZNF716	nature
ZNF804B	nature
THAP7	nature
NOC4L	nature
ZNF733	nature
ZNF717	nature
ZNF829	nature
FOXI2	nature
ZNF385C	nature
TCF24	nature
HELT	nature
ZNF793	nature
ZNF788	nature
HMX2	nature
BSX	nature
ZFP92	nature
ZNF676	nature
ZNF766	nature
ZNF836	nature
ZNF781	nature
ZNF774	nature
ZNF775	nature
ZNF799	nature
ZNF782	nature
ZNF846	nature
ZNF429	nature
ZNF763	nature
ZNF772	nature
ZSCAN5B	nature
ZNF720	nature
ZNF833	nature
ZNF98	nature
ZNF786	nature
ZNF841	nature
ZNF780A	nature
ZNF790	nature
ZNF770	nature
ZNF506	nature
ZNF808	nature
WDHD1	nature
ZNF789	nature
ZNF828	nature
ZSCAN5C	nature
ZNF316	nature
ZNF845	nature
RBM5	nature
PLXND1	nature
RBM6	nature
DVL2	nature
YBX2	nature
CSDE1	nature
AKAP8L	nature
DEPDC1	nature
BRD9	nature
HMGB3	nature
DEPDC1B	nature
CUL3	nature
FAM44A	nature
TRIT1	nature
DEPDC2	nature
RAD51	nature
CUL1	nature
MLL3	nature
ZFR	nature
