	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT
TCGA-DU-A5TU_1	4192.1287	3816.3352	611.0876	1.2696	3.3855	964.8752	2291.5785	11.4262	5.1333	537.0292	0.4232	13961.879	5.5015	228.5231	4.9725	1.6928
TCGA-DU-A5TW_1	1944.6309	1217.5503	301.6234	0	7.9607	731.0609	1447.5271	0.4423	5.3381	253.859	0	17345.1034	1.7691	44.2263	0.9818	3.0958
TCGA-DU-A5TY_0	1128.4635	5395.247	1206.8777	3.5045	21.4653	1891.5781	6254.7366	61.3295	20.0285	701.7851	0	7881.6209	27.5983	810.8641	2.8387	7.4472
TCGA-DU-A6S2_0	1571.2378	228.8513	65.8949	0	15.5833	206.5895	662.5111	26.2689	15.9305	152.7159	0.4452	21341.3624	42.7427	20.4809	20.1158	6.2333
TCGA-DU-A6S3_0	914.9149	281.2813	24.024	0	5.005	425.4254	390.3904	15.5155	16.8068	107.6076	1.5015	18242.027	0	27.5275	31.7718	2.002
TCGA-DU-A6S6_0	923.4083	267.5921	11.4888	1.4361	9.0953	289.1336	386.7879	32.0728	18.1331	117.7597	0	20137.8554	0.4787	15.3183	26.4002	4.3083
TCGA-DU-A6S7_0	3026.0748	2878.3472	267.7829	1.2772	37.8898	2358.959	4888.2091	2.1286	8.5742	590.059	0	21625.7319	0	13.1976	5.6622	1.7029
TCGA-DU-A6S8_0	557.8947	437.7193	15.3509	0.4386	2.193	399.5614	566.6667	7.4561	19.1754	76.3158	0.8772	18721.9561	0.8772	33.7719	12.0833	1.7544
TCGA-DU-A76K_0	1506.4263	261.5795	56.5839	0.6467	8.7301	265.1362	266.1062	37.1837	6.8677	51.7339	0.97	14673.4589	1.94	52.3806	5.0505	2.5867
TCGA-DU-A76L_0	814.2965	2444.7806	3223.525	1.5129	110.8169	1684.5688	4505.295	59.0015	8.7897	541.6036	9.8336	10104.5045	6.8079	526.8533	3.8654	1.8911
TCGA-DU-A76O_0	5349.9022	3282.0159	669.6583	3.2217	1.3807	2246.4619	3150.8457	3.682	8.8459	989.0692	1.3807	18033.6348	0.9205	25.7738	4.6991	1.3807
TCGA-DU-A76R_0	2361.6719	532.1401	1485.9762	0.8731	25.7558	332.6421	765.6881	9.1673	13.8514	184.2191	2.1827	19161.995	0.4365	19.2077	4.8456	272.8364
TCGA-DU-A7T6_0	662.9883	659.7513	294.2691	1.7656	2.3542	1035.533	724.7848	12.3593	12.6065	84.161	0.2943	16528.0247	2.3542	94.1661	7.2802	17.9504
TCGA-DU-A7T8_0	1844.6037	2769.0654	2142.6778	0.72	21.9596	1079.9787	1377.3329	21.2396	9.7774	380.8725	3.5999	20406.9072	7.1999	117.7177	8.1214	6.4799
TCGA-DU-A7TA_0	2170.6923	2357.7523	1502.0522	7.96	2.786	1350.0162	1904.4302	4.378	5.2138	369.344	0.398	19400.3055	5.572	77.61	4.4536	3.184
TCGA-DU-A7TB_0	953.3791	318.034	22.7683	1.4456	2.5298	411.2757	656.3065	5.7824	16.8883	173.8345	0.7228	20406.8377	0	48.7893	6.0246	0.7228
TCGA-DU-A7TC_0	2320.7031	483.9844	167.1875	1.5625	3.5156	559.7656	753.125	41.4062	13.1094	203.5156	0.3906	13117.875	0.7812	11.3281	3.8125	1.1719
TCGA-DU-A7TD_0	1026.805	1942.4989	719.8444	3.0264	56.2041	1472.5465	3773.022	42.3692	9.291	730.2205	2.1617	10155.2832	24.6433	366.6234	14.7471	6.0527
TCGA-DU-A7TG_0	2023.9489	1671.2705	194.0549	2.1804	21.2588	632.3137	614.8705	65.4118	4.9713	267.098	3.2706	11544.805	1.6353	97.5725	3.9901	4.9059
TCGA-DU-A7TI_0	1793.8122	1614.0811	80.0262	2.1865	55.1	1328.9603	2166.8307	16.6175	5.3307	540.9424	1.3119	17967.7402	26.6754	17.0548	4.6704	4.373
TCGA-DU-A7TJ_0	966.2228	1329.3277	39.948	1.6239	22.7347	992.53	1276.7132	13.9656	7.8889	478.7269	0.3248	7766.5086	3.2478	253.0042	2.4391	2.923
TCGA-E1-5302_1	4291.6341	1108.6787	1199.7654	0	13.2916	1241.595	2577.7952	23.4558	5.1173	584.05	0.7819	21473.2525	1.5637	144.6443	2.8812	15.6372
TCGA-E1-5303_1	6937.9238	2879.6924	2024.2856	0.483	13.5242	2578.7786	5358.0054	4.3471	3.8737	1035.5687	0	21262.3747	2.898	33.3275	0.8501	3.8641
TCGA-E1-5304_1	475.4113	257.2359	19.0024	0	1.0557	206.5629	446.2039	3.519	3.8849	32.3744	0	14844.7154	1.0557	5.9822	3.0087	0.3519
TCGA-E1-5305_1	2612.41	1179.448	629.8782	1.7364	6.5115	876.0125	1444.6827	7.3797	3.1385	204.0267	1.7364	22552.5477	4.341	49.0532	8.7992	3.0387
TCGA-E1-5307_1	2966.4121	645.2563	260.2374	0	11.4107	918.3767	1603.0183	11.0426	5.5655	502.4386	0	33932.8389	0.7362	1.1043	3.0698	0.7362
TCGA-E1-5311_1	1900.4245	372.9834	173.8325	0	8.9541	500.8105	561.6364	16.6731	7.5492	79.6604	0.9263	26618.853	2.4701	5.2489	4.8228	2.1613
TCGA-E1-5318_0	1481.572	519.3023	194.0333	9.4008	5.2645	668.2115	959.6375	1.5041	6.825	90.248	0.376	18129.5605	0.376	9.4008	1.365	1.1281
TCGA-E1-5319_1	2044.5783	797.1888	1841.7671	0	3.6145	566.2651	1697.1888	13.6546	5.6426	122.8916	0.4016	20754.5542	2.8112	144.1767	3.6104	11.6466
