	BRCA1	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	EGFR	HER2	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT	TP53
TCGA-HT-7467_1	0.188865433	0.185006917	0.020247208	0.000972888	0.001915419	0.030546801	0.066495986	0.044031813	0.046522175	0.021168466	0.116082137	0.150715543	0.123610146	0.000896802	0.465907944	0.004223952	0.013192991	0.274002823	0.012467946	0.147234129
TCGA-HT-7609_1	0.13308956	0.340455641	0.105208417	0.003611274	0.004995237	0.048691726	0.140742245	0.115568529	0.001304788	0.029699805	0.132140118	0.033365386	0.336509099	0.086545546	0.511355926	0.011017529	0.011816217	0.033508518	0.024391059	0.129418688
TCGA-P5-A5EW_1	0.153709652	0.246483907	0.27044388	0.001973062	0.018602155	0.150709055	0.170974595	0.188762305	0.014576838	0.034514604	0.109960316	0.053412131	0.282102849	0.000829574	0.570896925	0.043958977	0.010145889	0.183029571	0.028113474	0.248707283
TCGA-DU-7298_1	0.352519182	0.203633786	0.063469486	0.011010983	0.003742897	0.059704198	0.122783489	0.15283222	0.017599043	0.044502036	0.122097872	0.050481103	0.224118454	0.000292154	0.486229369	0.008256068	0.005281469	0.022779933	0.004569177	0.188004352
TCGA-FG-6689_1	0.104616837	0.462716229	0.070136796	0.00274333	0.012594648	0.06572217	0.194560643	0.161860481	0.039476958	0.01961144	0.119290054	0.02125779	0.393253235	0.001310487	0.426312596	0.009259141	0.018990017	0.042674645	0.0187902	0.131794474
TCGA-HT-7692_1	0.182925504	0.147275627	0.046512406	0.007763096	0	0.012986609	0.137588473	0.058964657	0.017864125	0.024461612	0.132903678	0.141664427	0.098927993	0.000381223	0.588877183	0.00808122	0.00425728	0.211637652	0.021864874	0.226396948
TCGA-HT-7602_1	0.164248746	0.293913742	0.077108938	0.00034443	0.021882887	0.027471075	0.141293324	0.124368311	0.012146498	0.004816298	0.115102964	0.077486901	0.308084798	0.000853921	0.432437587	0.006033307	0.009762404	0.024777394	0.05342495	0.106033306
TCGA-DH-5144_1	0.088697246	0.070009421	0.038434562	0.001527771	0	0.020426218	0.06198107	0.057396111	0.010094082	0.022219314	0.188201172	0.181135645	0.033289481	0.000634905	0.544618419	0.00448587	0.009791013	0.062307467	0.028138025	0.422583769
TCGA-DH-A66B_1	0.175795071	0.375475781	0.239907771	0.056956204	0.00535855	0.030073175	0.296470528	0.19009836	0.031492803	0.01054099	0.15489065	0.01502508	0.318363909	0.005018324	0.41213406	0.026592424	0.073161503	0.118946583	0.021803757	0.070394334
TCGA-DU-8168_1	0.351751038	0.07978719	0.020722153	0.006796956	0.001505247	0.056909462	0.03880173	0.034642072	0.017692601	0.080429857	0.297441716	0.188926533	0.016980967	0.00281925	0.559479574	0.004979974	0.009369809	0.3264162	0.006124798	0.218188837
TCGA-CS-5390_1	0.208459319	0.177835824	0.021876769	0.002767999	0	0.027691772	0.063021105	0.053483264	0.036732243	0.117301374	0.15068658	0.055722311	0.049847768	0.001097483	0.501318596	0.023262531	0.010893626	0.159641522	0.034331775	0.343894869
TCGA-P5-A5EX_1	0.139981841	0.274236832	0.325405998	0.046597517	0.015305376	1	0.239705989	0.268605825	0.20548648	0.008847231	0.277238162	0.086746153	0.348158521	0.001911127	0.408444479	0.111398513	0.284040244	0.508651226	0.114587779	0.245320877
TCGA-HT-A615_1	0.150892585	0.193797525	0.147985915	0.001489911	0.010893622	0.122272147	0.241918634	0.207778	0.057620082	0.016489538	0.112498074	0.230230355	0.241758637	0.000850113	0.387785088	0.03904342	0.016500615	0.240112568	0.132975231	0.256717419
TCGA-HT-7686_1	0.19039049	0.727673488	0.192105462	0.044195838	0.002346773	0.076256844	0.366023581	0.305348121	0.046591254	0.022762286	0.126388461	0.028824859	0.258261663	0.000366295	0.33504884	0.023294385	0.125643162	0	0.015279346	0.237808224
TCGA-HT-7620_1	0.198142296	0.178006506	0.022030344	0.000469899	0	0.035962597	0.111299386	0.090658722	0.015901075	0.028989163	0.116123676	0.094601906	0.281460015	0.000527902	0.551814205	0.007458989	0.006736773	0.060571895	0.465124698	0.171339706
TCGA-HT-7884_1	0.217691172	0.276123228	0.045038825	0.003041383	0.009466045	0.013979745	0.060772201	0.065964782	0.00989003	0.024422398	0.156539217	0.0637249	0.1107264	0.001108103	0.528636131	0.010439186	0.006874386	0.126496986	0.005777421	0.10065204
